2003;F;Année Universitaire 2003-2004;2003-2004;2004-05-18 00:00:00.0;2004-05-18 00:00:00.0;F;F;2016-02-17 15:23:45 
2004;F;Année Universitaire 2004-2005;2004-2005;2004-09-09 00:00:00.0;2004-09-09 00:00:00.0;F;F;2016-02-17 15:23:45 
2005;F;Année Universitaire 2005-2006;2005-2006;2005-08-29 00:00:00.0;2005-08-29 00:00:00.0;F;F;2016-02-17 15:23:45 
2006;F;Année Universitaire 2006-2007;2006-2007;2006-07-08 00:00:00.0;2006-07-08 00:00:00.0;F;F;2016-02-17 15:23:45 
2007;F;Année Universitaire 2007-2008;2007-2008;2007-09-03 00:00:00.0;2007-09-03 00:00:00.0;F;F;2016-02-17 15:23:45 
2008;F;Année Universitaire 2008-2009;2008-2009;2008-07-04 00:00:00.0;2008-07-04 00:00:00.0;F;F;2016-02-17 15:23:45 
2009;F;Année Universitaire 2009-2010;2009-2010;2009-07-16 00:00:00.0;2009-07-16 00:00:00.0;F;F;2016-02-17 15:23:45 
2010;F;Année universitaire 2010-2011;2010-2011;2010-07-05 00:00:00.0;2010-07-05 00:00:00.0;F;F;2016-02-17 15:23:45 
2011;F;Année universitaire 2011-2012;2011-2012;2011-07-22 00:00:00.0;2011-07-22 00:00:00.0;F;F;2016-02-17 15:23:45 
2012;F;Année universitaire 2012-2013;2012-2013;2012-07-11 00:00:00.0;2012-07-11 00:00:00.0;F;F;2016-02-17 15:23:45 
2013;F;Année universitaire 2013-2014;2013-2014;2013-07-10 00:00:00.0;2013-07-10 00:00:00.0;F;O;2016-02-17 15:23:45 
2014;F;Année Universitaire 2014-2015;2014-2015;2014-07-24 00:00:00.0;2014-07-24 00:00:00.0;O;O;2016-02-17 15:23:45 
2015;O;Année Universitaire 2015-2016;2015-2016;2015-07-24 00:00:00.0;2015-07-24 00:00:00.0;O;O;2016-02-17 15:23:45 
